"species_sci"	"sample"	"study"	"pub_stranded"	"n_reads"	"failed"	"strand_fwd"	"strand_rev"	"max_strand"	"max_strand_no_fail"	"aligned"	"percent_aligned"	"test_stranded"	"flag"
"s. cerevisiae"	"SRR1555415"	"PRJNA258654"	"Unstranded"	1000	0.049	0.52	0.431	0.52	0.546792849631966	933	0.933	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1555416"	"PRJNA258654"	"Unstranded"	1000	0.044	0.524	0.432	0.524	0.548117154811716	920	0.92	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1555417"	"PRJNA258654"	"Unstranded"	1000	0.042	0.524	0.434	0.524	0.546972860125261	951	0.951	"Unstranded"	"Passed"
"s. cerevisiae"	"SRR1605749"	"PRJNA263283"	"Stranded"	1000	0.057	0.361	0.582	0.582	0.617179215270414	734	0.734	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1605750"	"PRJNA263283"	"Stranded"	1000	0.061	0.359	0.58	0.58	0.617678381256656	756	0.756	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1605751"	"PRJNA263283"	"Stranded"	1000	0.038	0.273	0.689	0.689	0.716216216216216	810	0.81	"Unstranded"	"Failed"
"s. cerevisiae"	"SRR1656884"	"PRJNA267766"	"Stranded"	1000	0.1851	0.0097	0.8052	0.8052	0.98809669898147	520	0.52	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1656885"	"PRJNA267766"	"Stranded"	1000	0.2162	0.0086	0.7752	0.7752	0.989027813217658	468	0.468	"Stranded"	"Passed"
"s. cerevisiae"	"SRR1656886"	"PRJNA267766"	"Stranded"	1000	0.2276	0.0032	0.7692	0.7692	0.99585706887623	526	0.526	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817418"	"PRJNA299815"	"Stranded"	1000	0.098	0.027	0.875	0.875	0.970066518847007	675	0.675	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817419"	"PRJNA299815"	"Stranded"	1000	0.062	0.015	0.923	0.923	0.984008528784648	772	0.772	"Stranded"	"Passed"
"s. cerevisiae"	"SRR2817420"	"PRJNA299815"	"Stranded"	1000	0.107	0.021	0.872	0.872	0.976483762597984	682	0.682	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140907"	"PRJNA310655"	"Stranded"	1000	0.1659	0.0122	0.8218	0.8218	0.98537170263789	555	0.555	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140908"	"PRJNA310655"	"Stranded"	1000	0.1583	0.0095	0.8321	0.8321	0.988711977186312	497	0.497	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3140909"	"PRJNA310655"	"Stranded"	1000	0.109	0.0074	0.8836	0.8836	0.991694725028058	552	0.552	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180780"	"PRJNA312727"	"Stranded"	1000	0.038	0.002	0.96	0.96	0.997920997920998	929	0.929	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180781"	"PRJNA312727"	"Stranded"	1000	0.04	0.009	0.951	0.951	0.990625	928	0.928	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3180782"	"PRJNA312727"	"Stranded"	1000	0.051	0.008	0.941	0.941	0.991570073761855	927	0.927	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407195"	"PRJNA319164"	"Stranded"	1000	0.047	0.008	0.945	0.945	0.991605456453305	901	0.901	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407196"	"PRJNA319164"	"Stranded"	1000	0.044	0.013	0.943	0.943	0.986401673640167	917	0.917	"Stranded"	"Passed"
"s. cerevisiae"	"SRR3407197"	"PRJNA319164"	"Stranded"	1000	0.036	0.009	0.955	0.955	0.990663900414938	891	0.891	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018567"	"PRJNA338508"	"Stranded"	1000	0.046	0.01	0.944	0.944	0.989517819706499	905	0.905	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018568"	"PRJNA338508"	"Stranded"	1000	0.04	0.015	0.945	0.945	0.984375	903	0.903	"Stranded"	"Passed"
"s. cerevisiae"	"SRR4018569"	"PRJNA338508"	"Stranded"	1000	0.04	0.011	0.949	0.949	0.988541666666667	913	0.913	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000465"	"PRJNA352693"	"Stranded"	1000	0.043	0.011	0.946	0.946	0.988505747126437	909	0.909	"Stranded"	"Passed"
"s. cerevisiae"	"SRR5000466"	"PRJNA352693"	"Stranded"	1000	0.031	0.014	0.955	0.955	0.985552115583075	885	0.885	"Stranded"	"Passed"
