"sample"	"read_file"	"Human"	"Mouse"	"Rat"	"Drosophila"	"Worm"	"Yeast"	"Arabidopsis"	"Ecoli"	"rRNA"	"MT"	"PhiX"	"Lambda"	"Vectors"	"Adapters"
"SRR1555415"	"1"	0.00375943628559653	0.00358855281806942	0.00510640008845732	0.00240744649839671	0.0022214850778525	0.98347456349326	0.00373430636390137	0.000025129921695164	0.00231697878029412	0.0000351818903732296	0	0	0.00257330398158479	0.0000100519686780656
"SRR1555415"	"2"	0.00421177487610949	0.0037845662072917	0.00552858277293608	0.00259340791894092	0.00229184885859896	0.981238000462391	0.00401073550254817	0.0000351818903732296	0.00226671893690379	0.0000301559060341968	0	0	0.00256827799724576	0.0000050259843390328
"SRR1605749"	"1"	0.0140776154700863	0.0102498496416885	0.0108461859957798	0.00628956462349259	0.00572380962089318	0.89322521126617	0.00683493205843077	0.0116209135669069	0.000178391217035852	0.000183488108951162	0	0.0000305813514918603	0.0118604674869265	0
"SRR1605749"	"2"	0.0293886787836777	0.0251072895748173	0.0252958745756837	0.018904372113885	0.0156933302072396	0.884983537039114	0.0194599333326537	0.0114680068094476	0.000152906757459301	0.000168197433205231	0	0.0000407751353224803	0.0207749314468037	0
"SRR1605764"	"1"	0.0187496864181426	0.0176157744217551	0.0249310119913702	0.0122773568812403	0.00810797250514274	0.955190406903818	0.0170036626360945	0.00000501730971852892	0.0123927550047664	0.0349305102603984	0	0	0.0158095429230846	0
"SRR1605764"	"2"	0.0190657769304099	0.0176408609703477	0.0251618082384226	0.0124579800311073	0.00807285133711304	0.953986252571371	0.0170989915207466	0.00000501730971852892	0.0119411971300988	0.0351462545782951	0	0	0.0160052180021073	0
"SRR1656884"	"1"	0.0414738430583501	0.0359154929577465	0.051841046277666	0.0348390342052314	0.0104275653923541	0.966654929577465	0.0260160965794769	0.0000100603621730382	0.0350352112676056	0.0475503018108652	0	0	0.00143863179074447	0
"SRR1656884"	"2"	0.0521579476861167	0.0504225352112676	0.0666348088531187	0.0417454728370221	0.0108752515090543	0.967127766599598	0.0560965794768612	0.00000503018108651912	0.0498591549295775	0.0475653923541247	0	0	0.000895372233400402	0
"SRR2817418"	"1"	0.0520351206310642	0.0392979974269473	0.0555461586169073	0.0278679029620859	0.0277705165070041	0.934356403671982	0.0493698071235629	0.00309073854812172	0.0358330898671956	0.00119426547547655	0.000927734124726421	0	0.00413123593662705	0.000020502411596164
"SRR2817418"	"2"	0.0551207335762869	0.0443569674883008	0.0579603175823556	0.02987713929851	0.0295644775216685	0.932034505558716	0.0584216218432693	0.00316762259160734	0.0401744755226834	0.00116863746098135	0.000881603698635052	0	0.00447465133086279	0
