"sample"	"study"	"pub_stranded"	"failed"	"strand_fwd"	"strand_rev"	"max_strand"	"max_strand_no_fail"	"aligned"	"percent_aligned"	"test_stranded"	"species"	"flag"	"species_sci"	"filtered_failed"	"filtered_strand_fwd"	"filtered_strand_rev"	"filtered_max_strand"	"filtered_max_strand_no_fail"
"SRR1555415"	"PRJNA258654"	"Unstranded"	0.0475	0.5259	0.4267	0.5259	0.552068024354399	188077	0.940385	"Unstranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0341	0.5342	0.4317	0.5342	0.553059322911274
"SRR1605749"	"PRJNA263283"	"Stranded"	0.0619	0.3432	0.5949	0.5949	0.634154141349536	150099	0.750495	"Unstranded"	"yeast"	"Failed"	"s. cerevisiae"	0.0672	0.3342	0.5986	0.5986	0.64172384219554
"SRR1656884"	"PRJNA267766"	"Stranded"	0.2	0.0082	0.7918	0.7918	0.98975	105293	0.526465	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0382	0.0096	0.9522	0.9522	0.990018714909545
"SRR2817418"	"PRJNA299815"	"Stranded"	0.1001	0.0326	0.8673	0.8673	0.963773752639182	138804	0.69402	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0242	0.0309	0.9449	0.9449	0.968333674933388
"SRR3140907"	"PRJNA310655"	"Stranded"	0.1662	0.0094	0.8244	0.8244	0.988726313264572	105614	0.52807	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0376	0.0083	0.954	0.954	0.991374831133742
"SRR3180781"	"PRJNA312727"	"Stranded"	0.0435	0.0071	0.9494	0.9494	0.992577104025091	187041	0.935205	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0444	0.0087	0.947	0.947	0.990896724913676
"SRR3407195"	"PRJNA319164"	"Stranded"	0.0432	0.008	0.9488	0.9488	0.991638795986622	190396	0.95198	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0419	0.0104	0.9477	0.9477	0.989145183175034
"SRR4018567"	"PRJNA338508"	"Stranded"	0.0432	0.0118	0.945	0.945	0.987667224080268	181525	0.907625	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0353	0.0137	0.951	0.951	0.985798693894475
"SRR5000465"	"PRJNA352693"	"Stranded"	0.0357	0.0101	0.9543	0.9543	0.98952716715056	182022	0.91011	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0291	0.0105	0.9604	0.9604	0.989185291997116
"SRR5309371"	"PRJNA377731"	"Stranded"	0.0655	0.0143	0.9202	0.9202	0.984697699304441	165123	0.825615	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0804	0.0163	0.9032	0.9032	0.982272974442632
"SRR5417301"	"PRJNA381711"	"Unstranded"	0.0324	0.4943	0.4733	0.4943	0.510851591566763	152117	0.760585	"Unstranded"	"yeast"	"Passed"	"s. cerevisiae"	0.033	0.4928	0.4742	0.4928	0.509617373319545
"SRR5468230"	"PRJNA383899"	"Stranded"	0.028	0.0163	0.9557	0.9557	0.983230452674897	176825	0.884125	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0265	0.0169	0.9566	0.9566	0.982639958911145
"SRR6357070"	"PRJNA421472"	"Stranded"	0.038	0.0087	0.9534	0.9534	0.990957280947926	159224	0.79612	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0353	0.0078	0.9568	0.9568	0.991913746630728
"SRR6767450"	"PRJNA435723"	"Stranded"	0.031	0.8093	0.1597	0.8093	0.835190918472652	125047	0.625235	"Stranded"	"yeast"	"Failed"	"s. cerevisiae"	0.0299	0.8099	0.1602	0.8099	0.834862385321101
"SRR7174202"	"PRJNA471740"	"Stranded"	0.1687	0.0089	0.8223	0.8223	0.989292589027911	120526	0.60263	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0386	0.0083	0.9531	0.9531	0.991366756812981
"SRR7363059"	"PRJNA476714"	"Stranded"	0.0472	0.0055	0.9474	0.9474	0.994228145660615	189347	0.946735	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0338	0.0057	0.9605	0.9605	0.994100600289795
"SRR8109496"	"PRJNA498394"	"Stranded"	0.0305	0.0133	0.9562	0.9562	0.986281588447653	153772	0.76886	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0351	0.0109	0.954	0.954	0.988703492589906
"SRR8198059"	"PRJNA505786"	"Stranded"	0.0192	0.0425	0.9383	0.9383	0.956668026101142	123973	0.619865	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0255	0.0432	0.9313	0.9313	0.955669574140585
"SRR8761856"	"PRJNA528474"	"Unstranded"	0.139	0.4288	0.4323	0.4323	0.502032284287539	174829	0.874145	"Unstranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0962	0.4543	0.4495	0.4543	0.502655454746625
"SRR9336459"	"PRJNA550078"	"Stranded"	0.0327	0.0235	0.9438	0.9438	0.97570557221131	183404	0.91702	"Stranded"	"yeast"	"Passed"	"s. cerevisiae"	0.0291	0.0254	0.9455	0.9455	0.973838706354928
